method,action_mode,total_timesteps,seed,success_rate,final_error,steps,return,control_effort
vanilla_ppo,vanilla,1024,3,0.000000,1.929844,500.000000,-956.839860,968.993186
vanilla_ppo,vanilla,1024,7,0.000000,0.950865,500.000000,-825.762693,2157.490783
vanilla_ppo,vanilla,1024,11,0.000000,2.019566,500.000000,-735.695027,2006.215249
vanilla_ppo,vanilla,2048,3,0.000000,0.716081,500.000000,-742.540564,897.968835
vanilla_ppo,vanilla,2048,7,0.000000,2.392656,500.000000,-822.295929,1490.910086
vanilla_ppo,vanilla,2048,11,0.000000,0.901723,500.000000,-885.514143,4887.232029
vanilla_ppo,vanilla,4096,3,0.000000,2.475917,500.000000,-918.200663,2998.669206
vanilla_ppo,vanilla,4096,7,0.000000,2.540648,500.000000,-777.734674,4846.776400
vanilla_ppo,vanilla,4096,11,1.000000,0.025520,291.000000,-395.512260,12578.740186
residual_ppo,residual,1024,3,1.000000,0.046134,149.000000,-71.242321,1537.393208
residual_ppo,residual,1024,7,1.000000,0.048425,240.000000,-116.614151,1260.330659
residual_ppo,residual,1024,11,1.000000,0.046539,230.000000,-112.029025,1391.889217
residual_ppo,residual,2048,3,1.000000,0.042860,147.000000,-70.361473,1507.037697
residual_ppo,residual,2048,7,0.000000,0.066464,500.000000,-148.544926,1468.818722
residual_ppo,residual,2048,11,1.000000,0.043589,308.000000,-160.533690,1452.677943
residual_ppo,residual,4096,3,0.000000,0.086787,500.000000,-125.368941,1578.551292
residual_ppo,residual,4096,7,1.000000,0.044156,276.000000,-143.776735,1260.865810
residual_ppo,residual,4096,11,1.000000,0.047742,246.000000,-119.548819,1372.930290
